address,price,link
https://www.zillow.com/homedetails/400-Long-Creek-Rd-Sunnyvale-TX-75182/2069648819_zpid/,14700,"123 Main St., Dallas, TX, 75007"
https://www.zillow.com/homedetails/829-E-Shady-Grove-Rd-Irving-TX-75060/162814871_zpid/,13500,"456 Elm St., Austin, TX, 78704"
https://www.zillow.com/homedetails/3012-Willow-Dr-Flower-Mound-TX-75028/299123744_zpid/,15000,"789 Westheimer Rd., Houston, TX, 73837"
https://www.zillow.com/homedetails/829-E-Shady-Grove-Rd-Irving-TX-75060/162814871_zpid/,21000,"124 Main St., Dallas, TX, 75007"
https://www.zillow.com/homedetails/829-E-Shady-Grove-Rd-Irving-TX-75060/162814871_zpid/,17300,"125 Main St., Dallas, TX, 75007"
https://www.zillow.com/homedetails/829-E-Shady-Grove-Rd-Irving-TX-75060/162814871_zpid/,11200,"126 Main St., Dallas, TX, 75007"
https://www.zillow.com/homedetails/829-E-Shady-Grove-Rd-Irving-TX-75060/162814871_zpid/,5000,"127 Main St., Dallas, TX, 75007"
https://www.zillow.com/homedetails/829-E-Shady-Grove-Rd-Irving-TX-75060/162814871_zpid/,28000,"128 Main St., Dallas, TX, 75007"
https://www.zillow.com/homedetails/829-E-Shady-Grove-Rd-Irving-TX-75060/162814871_zpid/,9900,"129 Main St., Dallas, TX, 75007"
https://www.zillow.com/homedetails/829-E-Shady-Grove-Rd-Irving-TX-75060/162814871_zpid/,19000,"130 Main St., Dallas, TX, 75007"
